timezone,weekday,hour,return_std
UTC,0,0,0.0032835340617371257
UTC,0,1,0.0032845475480060096
UTC,0,2,0.002912039634972281
UTC,0,3,0.0026003471986396505
UTC,0,4,0.0026869629153158207
UTC,0,5,0.0021319442145672314
UTC,0,6,0.0022457896452577715
UTC,0,7,0.0017477645370786211
UTC,0,8,0.0019536764537504384
UTC,0,9,0.002026888640178195
UTC,0,10,0.0018613811282654899
UTC,0,11,0.0030425236403785077
UTC,0,12,0.0026411271237163376
UTC,0,13,0.0027094328125443767
UTC,0,14,0.0032850931188463583
UTC,0,15,0.004308172175527305
UTC,0,16,0.0029175904144001117
UTC,0,17,0.0026931267602686654
UTC,0,18,0.0020035031835929223
UTC,0,19,0.0023109508938315383
UTC,0,20,0.002000694288150415
UTC,0,21,0.0018575099752826541
UTC,0,22,0.001945909453740461
UTC,0,23,0.0018649652201998756
UTC,1,0,0.0019868577749680228
UTC,1,1,0.0022229842091835835
UTC,1,2,0.002234950700303034
UTC,1,3,0.0020455060140714435
UTC,1,4,0.00194543266094894
UTC,1,5,0.0020745210000885704
UTC,1,6,0.0017924967589691015
UTC,1,7,0.0016303990579421578
UTC,1,8,0.001946394707719279
UTC,1,9,0.0018132492532150107
UTC,1,10,0.0016650462522452144
UTC,1,11,0.001559824288692241
UTC,1,12,0.0020480402462358343
UTC,1,13,0.0025844028085267386
UTC,1,14,0.003758753680444013
UTC,1,15,0.00406147100408831
UTC,1,16,0.003306526772957385
UTC,1,17,0.0029163649552240265
UTC,1,18,0.0025278426511410415
UTC,1,19,0.0027564900535091965
UTC,1,20,0.002568133437631504
UTC,1,21,0.00218633373050712
UTC,1,22,0.00255560056485024
UTC,1,23,0.0024009254227218123
UTC,2,0,0.0019188306025348404
UTC,2,1,0.002815458136291264
UTC,2,2,0.0022373600775193875
UTC,2,3,0.0018969936192313674
UTC,2,4,0.0016480681204391987
UTC,2,5,0.001927459237164629
UTC,2,6,0.001710113323520435
UTC,2,7,0.0016119425876192455
UTC,2,8,0.002163103576060869
UTC,2,9,0.0019302699272786665
UTC,2,10,0.0015471120348724005
UTC,2,11,0.0017229593520898148
UTC,2,12,0.002096975434387494
UTC,2,13,0.002718792161959432
UTC,2,14,0.0033323677336796267
UTC,2,15,0.004120364560179069
UTC,2,16,0.0036664634934669964
UTC,2,17,0.0028983262601788213
UTC,2,18,0.0031086464916480973
UTC,2,19,0.0028928543592504404
UTC,2,20,0.0025771825876078854
UTC,2,21,0.0023253867761189604
UTC,2,22,0.002335135441267813
UTC,2,23,0.0020258438189410402
UTC,3,0,0.002253113286489549
UTC,3,1,0.002305319343227864
UTC,3,2,0.002398501043373495
UTC,3,3,0.002365253279893069
UTC,3,4,0.0020746727241277366
UTC,3,5,0.0021215815607176732
UTC,3,6,0.001825249889099219
UTC,3,7,0.0018561881014398328
UTC,3,8,0.0018411461587235563
UTC,3,9,0.002101910011161252
UTC,3,10,0.0017586085884806937
UTC,3,11,0.0018013507518363963
UTC,3,12,0.0020272546629108777
UTC,3,13,0.003009472935795776
UTC,3,14,0.004101737778390077
UTC,3,15,0.004480003147127725
UTC,3,16,0.003228193347646922
UTC,3,17,0.003370117581641226
UTC,3,18,0.0031732527419925825
UTC,3,19,0.0025817932082095795
UTC,3,20,0.002517927542838317
UTC,3,21,0.0020679441036935056
UTC,3,22,0.0019558054231267074
UTC,3,23,0.0020750459779558016
UTC,4,0,0.004212907979944242
UTC,4,1,0.002971483952910406
UTC,4,2,0.0028781533581488353
UTC,4,3,0.0021789444011048346
UTC,4,4,0.0021969853699745612
UTC,4,5,0.0020214111621527095
UTC,4,6,0.002162116983448744
UTC,4,7,0.002575011799539066
UTC,4,8,0.001961267251111546
UTC,4,9,0.0021872340371842454
UTC,4,10,0.001981259852994992
UTC,4,11,0.002041351378500152
UTC,4,12,0.002885335069511744
UTC,4,13,0.002803915185610244
UTC,4,14,0.004555238759499752
UTC,4,15,0.0038720481478261154
UTC,4,16,0.0030695493795872436
UTC,4,17,0.00332574408031453
UTC,4,18,0.0026921417939098145
UTC,4,19,0.002317866597315215
UTC,4,20,0.002177779542199461
UTC,4,21,0.003515053885251691
UTC,4,22,0.0022397845072741943
UTC,4,23,0.0016885521591112917
UTC,5,0,0.0019369607052322295
UTC,5,1,0.0013282009425938028
UTC,5,2,0.0014805650136045726
UTC,5,3,0.001416235632565598
UTC,5,4,0.0013533040539100724
UTC,5,5,0.001695658639460093
UTC,5,6,0.0016233507382344059
UTC,5,7,0.0024153491685500964
UTC,5,8,0.0015119230727278906
UTC,5,9,0.0012919610653177496
UTC,5,10,0.0011446106381317197
UTC,5,11,0.0011344731215717843
UTC,5,12,0.001506216293718233
UTC,5,13,0.0014725008931277365
UTC,5,14,0.0019517368234999004
UTC,5,15,0.0016927344850063597
