penalty_multiplier,change_time
1.0,2020-03-11T00:00:00+00:00
1.0,2020-03-25T00:00:00+00:00
1.0,2020-06-03T00:00:00+00:00
1.0,2020-07-25T00:00:00+00:00
1.0,2020-08-08T00:00:00+00:00
1.0,2020-10-20T00:00:00+00:00
1.0,2020-12-15T00:00:00+00:00
1.0,2021-01-02T00:00:00+00:00
1.0,2021-01-16T00:00:00+00:00
1.0,2021-01-31T00:00:00+00:00
1.0,2021-02-19T00:00:00+00:00
1.0,2021-03-05T00:00:00+00:00
1.0,2021-05-12T00:00:00+00:00
1.0,2021-05-29T00:00:00+00:00
1.0,2021-06-29T00:00:00+00:00
1.0,2021-07-20T00:00:00+00:00
1.0,2021-08-09T00:00:00+00:00
1.0,2021-09-06T00:00:00+00:00
1.0,2021-09-29T00:00:00+00:00
1.0,2021-10-20T00:00:00+00:00
1.0,2022-01-21T00:00:00+00:00
1.0,2022-03-17T00:00:00+00:00
1.0,2022-05-04T00:00:00+00:00
1.0,2022-05-18T00:00:00+00:00
1.0,2022-06-06T00:00:00+00:00
1.0,2022-06-22T00:00:00+00:00
1.0,2022-10-01T00:00:00+00:00
1.0,2022-11-04T00:00:00+00:00
1.0,2022-11-18T00:00:00+00:00
1.0,2023-01-11T00:00:00+00:00
1.0,2023-01-26T00:00:00+00:00
1.0,2023-03-09T00:00:00+00:00
1.0,2023-03-23T00:00:00+00:00
1.0,2023-07-01T00:00:00+00:00
1.0,2023-10-15T00:00:00+00:00
1.0,2024-02-25T00:00:00+00:00
1.0,2024-03-11T00:00:00+00:00
1.0,2024-05-02T00:00:00+00:00
1.0,2024-08-01T00:00:00+00:00
1.0,2024-08-16T00:00:00+00:00
1.0,2024-11-04T00:00:00+00:00
1.0,2024-11-21T00:00:00+00:00
1.0,2025-02-24T00:00:00+00:00
1.0,2025-03-13T00:00:00+00:00
1.0,2025-04-17T00:00:00+00:00
1.0,2025-10-06T00:00:00+00:00
1.0,2026-01-28T00:00:00+00:00
1.0,2026-02-12T00:00:00+00:00
1.0,2026-07-09T00:00:00+00:00
3.0,2020-03-11T00:00:00+00:00
3.0,2020-03-25T00:00:00+00:00
3.0,2020-06-03T00:00:00+00:00
3.0,2020-10-20T00:00:00+00:00
3.0,2021-01-02T00:00:00+00:00
3.0,2021-01-30T00:00:00+00:00
3.0,2021-05-12T00:00:00+00:00
3.0,2021-05-29T00:00:00+00:00
3.0,2021-07-01T00:00:00+00:00
3.0,2022-06-07T00:00:00+00:00
3.0,2022-06-22T00:00:00+00:00
3.0,2022-11-16T00:00:00+00:00
3.0,2024-01-01T00:00:00+00:00
3.0,2025-04-12T00:00:00+00:00
10.0,2020-03-11T00:00:00+00:00
10.0,2020-03-25T00:00:00+00:00
10.0,2020-12-16T00:00:00+00:00
10.0,2021-06-29T00:00:00+00:00
10.0,2022-09-30T00:00:00+00:00
