month,train_start,model_fit_end,train_rows,gate_label_end,test_rows,converged,gmm_converged,hmm_train_min_occupancy,gmm_train_min_occupancy,hmm_mean_max_probability,gmm_mean_max_probability,hmm_seed_ari,gmm_seed_ari,trend_allowed_states,reversion_allowed_states,gmm_trend_allowed_states,gmm_reversion_allowed_states,hmm_retraining_ari,gmm_retraining_ari,retraining_stability_status
2022-02-01T00:00:00+00:00,2020-02-02T00:00:00+00:00,2022-01-31T23:00:00+00:00,17520,2022-01-31T23:00:00+00:00,672,True,True,0.13858447488584474,0.13036529680365297,0.970222233976765,0.9102136595189654,0.9306688403302252,0.8002955225850987,bear_stress|bull_trend|quiet_range|volatile_transition,bear_stress|bull_trend,bear_stress|bull_trend|quiet_range|volatile_transition,bear_stress|volatile_transition,,,not_applicable_first_window
2022-03-01T00:00:00+00:00,2020-03-01T00:00:00+00:00,2022-02-28T23:00:00+00:00,17520,2022-02-28T23:00:00+00:00,744,True,True,0.14001141552511415,0.09526255707762557,0.9742862816461801,0.9097797208619418,0.9486898766396686,0.9998883357629564,bear_stress|quiet_range|volatile_transition,bear_stress|volatile_transition,bull_trend|quiet_range|volatile_transition,bear_stress,0.9139536722287481,0.6685202311879448,ok
2022-04-01T00:00:00+00:00,2020-04-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,17520,2022-03-31T23:00:00+00:00,720,True,True,0.17871004566210047,0.16626712328767124,0.9741377609471102,0.9247215715649699,0.36074647269445176,1.0,bull_trend|quiet_range,bear_stress|quiet_range,bear_stress|bull_trend|quiet_range,bear_stress|quiet_range|volatile_transition,0.24197824418228175,0.4113232128418028,ok
2022-05-01T00:00:00+00:00,2020-05-01T00:00:00+00:00,2022-04-30T23:00:00+00:00,17520,2022-04-30T23:00:00+00:00,744,True,True,0.16797945205479453,0.18019406392694065,0.9723010772424765,0.8964262471104318,0.9951786833502874,0.999857216508253,bull_trend|quiet_range,bear_stress|bull_trend,bull_trend|quiet_range|volatile_transition,bear_stress|quiet_range|volatile_transition,0.3118858933349023,0.9082986882905534,ok
2022-06-01T00:00:00+00:00,2020-06-01T00:00:00+00:00,2022-05-31T23:00:00+00:00,17520,2022-05-31T23:00:00+00:00,720,True,True,0.15730593607305937,0.18904109589041096,0.9820203628023509,0.9110884700630847,0.3873278796700002,0.9945113142106768,bull_trend|quiet_range,bear_stress|quiet_range|volatile_transition,bull_trend|quiet_range|volatile_transition,bear_stress|quiet_range|volatile_transition,0.5078340301526862,0.9168833696816108,ok
2022-07-01T00:00:00+00:00,2020-07-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,17520,2022-06-30T23:00:00+00:00,744,True,True,0.14703196347031963,0.1920662100456621,0.9735388891045854,0.9086759217222437,0.7525298574755985,0.9786124360202447,bull_trend|quiet_range,bear_stress,bear_stress|bull_trend|quiet_range|volatile_transition,bear_stress|quiet_range,0.519454046910976,0.8847868430990367,ok
2022-08-01T00:00:00+00:00,2020-08-01T00:00:00+00:00,2022-07-31T23:00:00+00:00,17520,2022-07-31T23:00:00+00:00,744,True,True,0.1612442922374429,0.18538812785388128,0.9632564468838114,0.9289102407693892,0.3385385369683107,0.9918397695882647,bear_stress|bull_trend|volatile_transition,bear_stress|quiet_range,bear_stress|bull_trend|volatile_transition,bear_stress|quiet_range,0.16739729756285004,0.7374925474851324,ok
2022-09-01T00:00:00+00:00,2020-09-01T00:00:00+00:00,2022-08-31T23:00:00+00:00,17520,2022-08-31T23:00:00+00:00,720,True,True,0.14743150684931508,0.18144977168949772,0.9796352039616071,0.9262471912145682,0.34560223153018854,0.9144540652395742,bull_trend,bear_stress|quiet_range,bull_trend|quiet_range|volatile_transition,bear_stress,0.5608944106535028,0.6301773648776534,ok
2022-10-01T00:00:00+00:00,2020-10-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,17520,2022-09-30T23:00:00+00:00,744,True,True,0.15656392694063928,0.18356164383561643,0.9863879557546199,0.9466273952498695,0.9929047106384669,0.9901162593865278,bear_stress|bull_trend|quiet_range,bull_trend|quiet_range,bull_trend|quiet_range|volatile_transition,bear_stress|quiet_range,0.6197500946959795,0.8987918890093836,ok
2022-11-01T00:00:00+00:00,2020-11-01T00:00:00+00:00,2022-10-31T23:00:00+00:00,17520,2022-10-31T23:00:00+00:00,720,True,True,0.154851598173516,0.1795662100456621,0.984038837856978,0.914540806166692,0.9994782704169067,0.9951247911819177,bear_stress|bull_trend|quiet_range|volatile_transition,bear_stress|bull_trend|quiet_range,bull_trend|quiet_range|volatile_transition,bear_stress|quiet_range,0.9613408472028452,0.9542384316420166,ok
2022-12-01T00:00:00+00:00,2020-12-01T00:00:00+00:00,2022-11-30T23:00:00+00:00,17520,2022-11-30T23:00:00+00:00,744,True,True,0.1625,0.10410958904109589,0.9899163272557225,0.9183561240340198,0.9552798898936434,0.9991585326486034,bear_stress|bull_trend,bull_trend|quiet_range,bull_trend|quiet_range,bear_stress|bull_trend,0.9401451287324998,0.5732670540505138,ok
2023-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,17520,2022-12-31T23:00:00+00:00,744,True,True,0.14817351598173517,0.1807648401826484,0.9776321596046986,0.9384529447426588,0.9984519376454881,1.0,bear_stress,bull_trend,bull_trend|quiet_range|volatile_transition,bear_stress|volatile_transition,0.7469509642960795,0.6557353508100926,ok
2023-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2023-01-31T23:00:00+00:00,17520,2023-01-31T23:00:00+00:00,672,True,True,0.14360730593607307,0.17134703196347031,0.9808434811888157,0.9029154041539093,0.831589063107669,0.9974319807320947,bear_stress|bull_trend|quiet_range,bear_stress|volatile_transition,bull_trend|quiet_range|volatile_transition,bear_stress,0.8441753709374649,0.7482016963955812,ok
