model,from_state,to_state,count,probability,probability_ci95_low,probability_ci95_high,status
HMM,bear_stress,bear_stress,2986,0.8900149031296573,0.8675037257824143,0.9142026825633383,ok
HMM,bear_stress,bull_trend,106,0.031594634873323396,0.022198211624441133,0.04204172876304023,ok
HMM,bear_stress,momentum_proxy,14,0.004172876304023845,0.0008941877794336811,0.008643815201192251,insufficient_data
HMM,bear_stress,quiet_range,51,0.015201192250372579,0.006400894187779434,0.024299552906110276,ok
HMM,bear_stress,stress_proxy,0,0.0,0.0,0.0,insufficient_data
HMM,bear_stress,volatile_transition,198,0.05901639344262295,0.045305514157973174,0.07258569299552906,ok
HMM,bull_trend,bear_stress,95,0.012501644953283327,0.009537439136728517,0.016186340307935254,ok
HMM,bull_trend,bull_trend,7080,0.9317015396762732,0.9239998684037374,0.9390084221608106,ok
HMM,bull_trend,momentum_proxy,0,0.0,0.0,0.0,insufficient_data
HMM,bull_trend,quiet_range,153,0.020134228187919462,0.01677523358336623,0.024345308593235953,ok
HMM,bull_trend,stress_proxy,101,0.013291222529280168,0.009405842874062377,0.017571390972496378,ok
HMM,bull_trend,volatile_transition,170,0.02237136465324385,0.017765495459928938,0.02750361889722332,ok
HMM,momentum_proxy,bear_stress,6,0.00641025641025641,0.0010683760683760685,0.014449786324786301,insufficient_data
HMM,momentum_proxy,bull_trend,0,0.0,0.0,0.0,insufficient_data
HMM,momentum_proxy,momentum_proxy,881,0.9412393162393162,0.9278579059829061,0.9567574786324786,ok
HMM,momentum_proxy,quiet_range,32,0.03418803418803419,0.020806623931623934,0.0438034188034188,ok
HMM,momentum_proxy,stress_proxy,0,0.0,0.0,0.0,insufficient_data
HMM,momentum_proxy,volatile_transition,17,0.018162393162393164,0.009615384615384616,0.026201923076923053,insufficient_data
HMM,quiet_range,bear_stress,96,0.007355194606190622,0.005782638676064971,0.009080983757278576,ok
HMM,quiet_range,bull_trend,126,0.00965369292062519,0.006742261722341404,0.011798958014097456,ok
HMM,quiet_range,momentum_proxy,18,0.0013790989886607416,0.0006129328838492185,0.0020686484829911126,insufficient_data
HMM,quiet_range,quiet_range,12458,0.9544897333741955,0.9510419859025436,0.9587802635611401,ok
HMM,quiet_range,stress_proxy,15,0.0011492491572172847,0.0006129328838492185,0.0018387986515476554,insufficient_data
HMM,quiet_range,volatile_transition,339,0.025973030953110633,0.022755133312902236,0.028848069261415872,ok
HMM,stress_proxy,bear_stress,0,0.0,0.0,0.0,insufficient_data
HMM,stress_proxy,bull_trend,108,0.04342581423401689,0.028950542822677925,0.06033373542420585,ok
HMM,stress_proxy,momentum_proxy,0,0.0,0.0,0.0,insufficient_data
HMM,stress_proxy,quiet_range,1,0.0004020908725371934,0.0,0.0012062726176115801,insufficient_data
HMM,stress_proxy,stress_proxy,2269,0.9123441897868918,0.8908021712907117,0.9350723763570566,ok
HMM,stress_proxy,volatile_transition,109,0.04382790510655408,0.028739445114595898,0.05730800160836348,ok
HMM,volatile_transition,bear_stress,172,0.013915857605177993,0.01156957928802589,0.016427993527508088,ok
HMM,volatile_transition,bull_trend,180,0.014563106796116505,0.011407766990291262,0.01820388349514563,ok
HMM,volatile_transition,momentum_proxy,23,0.00186084142394822,0.0006472491909385113,0.0033596278317152084,insufficient_data
HMM,volatile_transition,quiet_range,357,0.02888349514563107,0.02405542071197411,0.033584142394822,ok
HMM,volatile_transition,stress_proxy,102,0.00825242718446602,0.0063915857605178,0.010236650485436892,ok
HMM,volatile_transition,volatile_transition,11526,0.9325242718446602,0.9258474919093851,0.9384385113268608,ok
GMM,bear_stress,bear_stress,4550,0.7771135781383433,0.7496883005977797,0.8091588385994876,ok
GMM,bear_stress,bull_trend,380,0.06490179333902647,0.049782237403928266,0.08199829205807001,ok
GMM,bear_stress,quiet_range,298,0.05089666951323655,0.03953458582408198,0.0644790777113578,ok
GMM,bear_stress,volatile_transition,627,0.10708795900939368,0.0859009393680615,0.12417591801878736,ok
GMM,bull_trend,bear_stress,353,0.03844059675487314,0.032451268648589784,0.044538821735816185,ok
GMM,bull_trend,bull_trend,7208,0.7849286725470979,0.7646575193291952,0.8082952194272024,ok
GMM,bull_trend,quiet_range,831,0.09049330284220843,0.07688119350974627,0.10573886529456604,ok
GMM,bull_trend,volatile_transition,791,0.08613742785582054,0.07257704453882173,0.10086573015354457,ok
GMM,quiet_range,bear_stress,329,0.028867245766429763,0.022679213828200404,0.03597437922260244,ok
GMM,quiet_range,bull_trend,813,0.0713345617267702,0.06347503729051505,0.0780073703606212,ok
GMM,quiet_range,quiet_range,9563,0.8390804597701149,0.8277616916732473,0.849567868737387,ok
GMM,quiet_range,volatile_transition,692,0.06071773273668509,0.05237781872422567,0.06871545143458803,ok
GMM,volatile_transition,bear_stress,623,0.04665268833308372,0.04136401078328591,0.05268271678897708,ok
GMM,volatile_transition,bull_trend,783,0.058634117118466375,0.05210423843043283,0.06529878688033548,ok
GMM,volatile_transition,quiet_range,704,0.05271828665568369,0.044666392092257,0.060809495282312415,ok
GMM,volatile_transition,volatile_transition,11244,0.8419949078927662,0.831243447656133,0.852821252059308,ok
